id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,75218.0,1506495262175,1,1506495262175,45416506422.0,76686.0,75022.0,-1360.9217343286,-1.77715,-28577868631.0,-1.86166,20017934.0,20017934.0,21000000.0,126080.0,-40.34085,2025-10-06T18:57:42.558Z,67.81,110826.54774,2013-07-06T00:00:00.000Z,,2026-04-19T09:11:29.254Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2318.05,279804188385,2,279804188385,13746106780.0,2380.26,2305.27,-61.144059989762354,-2.56994,-7323192628.011047,-2.5505,120690543.4606479,120690543.4606479,,4946.05,-53.13317,2025-08-24T19:21:03.333Z,0.432979,535273.91467,2015-10-20T00:00:00.000Z,"{'times': 40.2038076025942, 'currency': 'btc', 'percentage': 4020.3807602594206}",2026-04-19T09:11:29.282Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,186662359164,3,192130770424,69740547804.0,1.001,1.0,0.00010572,0.01057,19379479.0,0.01038,186612136570.0389,192079076522.4362,,1.32,-24.4013,2018-07-24T00:00:00.000Z,0.572521,74.70851,2015-03-02T00:00:00.000Z,,2026-04-19T09:11:29.559Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.42,87659566837,4,142354179444,2367621896.0,1.45,1.42,-0.028659338212615904,-1.97571,-1838708195.8489838,-2.05446,61569680267.0,99985679023.0,100000000000.0,3.65,-61.00424,2025-07-18T03:40:53.808Z,0.00268621,52834.60526,2014-05-22T00:00:00.000Z,,2026-04-19T09:11:29.698Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,621.23,83733548842,5,83733548842,894855773.0,636.43,619.47,-14.072787578127418,-2.21512,-2074764443.8935394,-2.41791,134786684.16,134786684.16,200000000.0,1369.99,-54.6542,2025-10-13T08:41:24.131Z,0.0398177,1560094.95246,2017-10-19T00:00:00.000Z,,2026-04-19T09:11:29.391Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999829,78463118561,6,78470197377,9283597829.0,1.001,0.996876,-5.2605265116967e-05,-0.00526,-44798858.70329285,-0.05706,78478493376.52812,78485573580.30249,,1.043,-4.17438,2018-11-15T00:00:00.000Z,0.877647,13.93041,2023-03-11T08:02:13.981Z,,2026-04-19T09:11:29.619Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,84.87,48835627643,7,53017179209,2780386083.0,87.63,84.67,-2.547345552174349,-2.9141,-1461321289.8737106,-2.90539,575383116.9860549,624650307.5609723,,293.31,-71.06593,2025-01-19T11:15:27.957Z,0.500801,16846.26184,2020-05-11T19:35:23.449Z,,2026-04-19T09:11:29.172Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.333368,31597612887,8,31598084834,592646321.0,0.333683,0.32739,0.00577205,1.76194,548193034.0,1.76555,94775898013.53279,94777313603.89229,,0.431288,-22.70407,2024-12-04T00:10:40.323Z,0.00180434,18375.89978,2017-11-12T00:00:00.000Z,"{'times': 174.45702738084722, 'currency': 'usd', 'percentage': 17445.70273808472}",2026-04-19T09:11:21.053Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.035,17340515686,9,17340515686,9185860.0,1.035,1.016,0.0134001,1.3118,260172536.0,1.52323,16755615680.947,16755615680.947,,1.049,-1.35456,2026-03-09T17:00:25.937Z,0.155357,566.14981,2025-10-31T14:27:24.456Z,,2026-04-19T04:19:25.646Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.093949,14466191162,10,15943010525,1344759720.0,0.097171,0.093696,-0.003129465436411252,-3.22365,-480958688.9898739,-3.21773,153892246383.7052,169602743126.579,,0.731578,-87.15806,2021-05-08T05:08:23.458Z,8.69e-05,108006.76529,2015-05-06T00:00:00.000Z,,2026-04-19T09:11:26.973Z
